Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.render.small.brigid,45806119,2103262,219813,9,869269504
All.render.small.blaze,20097118,1947242,152679,9,869269504
All.render.small.lucid,23281886,1739752,145358,9,869269504
All.render.medium.brigid,464560223,10628388,1913561,23,869269504
All.render.medium.blaze,231182631,12808574,1187820,23,869269504
All.render.medium.lucid,232747489,21111366,1127444,33,869269504
All.render.large.brigid,679915743,66534118,2771817,82,869269504
All.render.large.blaze,355442562,29382212,1737207,39,869269504
All.render.large.lucid,346202477,17495422,1619593,37,869269504
All.brigid-pipeline.small.construct+render,59050060,2844904,266218,13,872415232
All.brigid-pipeline.small.render-only,48505983,2528688,219816,10,872415232
All.brigid-pipeline.medium.construct+render,626963550,42049494,2415209,81,872415232
All.brigid-pipeline.medium.render-only,486831676,30329004,1913729,38,872415232
All.brigid-pipeline.large.construct+render,922137787,90303380,3535253,84,872415232
All.brigid-pipeline.large.render-only,726458723,39093204,2771698,39,872415232
